text,category
🇦🇺,Event
🇫🇷,Event
🎂,Event
🛍,Event
🇨🇦,Event
🇧🇷,Event
🐉,Event
🎅,Event
🇲🇽,Event
🇨🇳,Event
🐰,Event
🎥,Event
🍂,Event
👨,Event
💪,Event
🎓,Event
🎃,Event
🕎,Event
🕉,Event
🇺🇸,Event
👩,Event
🎊,Event
👑,Event
☪,Event
🌱,Event
☘,Event
☀,Event
🦃,Event
💘,Event
👰,Event
⛄,Event
🌎,Event
🏔,Travel
⛰,Travel
🌋,Travel
🗻,Travel
🏕,Travel
🏖,Travel
🏜,Travel
🏝,Travel
🏞,Travel
🏟,Travel
🏛,Travel
🏗,Travel
🏘,Travel
🏙,Travel
🏚,Travel
🏢,Travel
🏣,Travel
🏤,Travel
🏥,Travel
🏦,Travel
🏨,Travel
🏩,Travel
🏪,Travel
🏫,Travel
🏬,Travel
🏭,Travel
🏯,Travel
🏰,Travel
💒,Travel
🗼,Travel
🗽,Travel
⛪,Travel
🕌,Travel
🕍,Travel
⛩,Travel
🕋,Travel
⛲,Travel
🌁,Travel
🌃,Travel
🌆,Travel
🌇,Travel
🌉,Travel
🌌,Travel
🎠,Travel
🎡,Travel
🎢,Travel
🚂,Travel
🚃,Travel
🚠,Travel
🚡,Travel
🚀,Travel
🛰,Travel
🎑,Travel
🏎,Travel
🏍,Travel
💴,Travel
💵,Travel
💶,Travel
💷,Travel
🗿,Travel
🛂,Travel
🛃,Travel
🛄,Travel
🛅,Travel
🍇,Food
🍈,Food
🍉,Food
🍊,Food
🍋,Food
🍌,Food
🍍,Food
🍎,Food
🍏,Food
🍐,Food
🍑,Food
🍒,Food
🍓,Food
🍅,Food
🍆,Food
🌽,Food
🌶,Food
🍄,Food
🌰,Food
🍞,Food
🧀,Food
🍖,Food
🍗,Food
🍔,Food
🍟,Food
🍕,Food
🌭,Food
🌮,Food
🌯,Food
🍳,Food
🍲,Food
🍿,Food
🍱,Food
🍘,Food
🍙,Food
🍚,Food
🍛,Food
🍜,Food
🍝,Food
🍠,Food
🍢,Food
🍣,Food
🍤,Food
🍥,Food
🍡,Food
🍦,Food
🍧,Food
🍨,Food
🍩,Food
🍪,Food
🍰,Food
🍫,Food
🍬,Food
🍭,Food
🍮,Food
🍯,Food
🍼,Food
☕,Food
🍵,Food
🍶,Food
🍾,Food
🍷,Food
🍸,Food
🍹,Food
🍺,Food
🍻,Food
🍽,Food
🍴,Food
👾,Activity
🕴,Activity
🎪,Activity
🎭,Activity
🎨,Activity
🎰,Activity
🚣,Activity
🛀,Activity
🎗,Activity
🎟,Activity
🎫,Activity
🎖,Activity
🏆,Activity
🏅,Activity
⚽,Activity
⚾,Activity
🏀,Activity
🏐,Activity
🏈,Activity
🏉,Activity
🎾,Activity
🎱,Activity
🎳,Activity
🏏,Activity
🏑,Activity
🏒,Activity
🏓,Activity
🏸,Activity
⛳,Activity
🏌,Activity
⛸,Activity
🎣,Activity
🎽,Activity
🎿,Activity
⛷,Activity
🏂,Activity
🏄,Activity
🏇,Activity
🏊,Activity
⛹,Activity
🏋,Activity
🚴,Activity
🚵,Activity
🎯,Activity
🎮,Activity
🎲,Activity
🎷,Activity
🎸,Activity
🎺,Activity
🎻,Activity
🎬,Activity
🏹,Activity
🎉,Activity
🎁,Activity
🚄,Transportation
🚅,Transportation
🚆,Transportation
🚇,Transportation
🚈,Transportation
🚉,Transportation
🚊,Transportation
🚝,Transportation
🚞,Transportation
🚋,Transportation
🚌,Transportation
🚍,Transportation
🚎,Transportation
🚏,Transportation
🚐,Transportation
🚑,Transportation
🚒,Transportation
🚓,Transportation
🚔,Transportation
🚕,Transportation
🚖,Transportation
🚗,Transportation
🚘,Transportation
🚚,Transportation
🚛,Transportation
🚜,Transportation
🚲,Transportation
⛽,Transportation
🛤,Transportation
🚨,Transportation
🚥,Transportation
🚦,Transportation
🚧,Transportation
⚓,Transportation
⛵,Transportation
🚤,Transportation
🛳,Transportation
⛴,Transportation
🛥,Transportation
🚢,Transportation
✈,Transportation
🛩,Transportation
🛫,Transportation
🛬,Transportation
💺,Transportation
🚁,Transportation
🚟,Transportation
😀,People
😃,People
😄,People
😁,People
😆,People
😅,People
🤣,People
😂,People
🙂,People
🙃,People
😉,People
😊,People
😇,People
🥰,People
😍,People
🤩,People
😘,People
😗,People
☺,People
😚,People
😙,People
😋,People
😛,People
😜,People
🤪,People
😝,People
🤑,People
🤗,People
🤭,People
🤫,People
🤔,People
🤐,People
🤨,People
😐,People
😑,People
😶,People
😏,People
😒,People
🙄,People
😬,People
🤥,People
😌,People
😔,People
😪,People
🤤,People
😴,People
😷,People
🤒,People
🤕,People
🤢,People
🤮,People
🤧,People
🥵,People
🥶,People
🥴,People
😵,People
🤯,People
🤠,People
🥳,People
😎,People
🤓,People
🧐,People
😕,People
😟,People
🙁,People
☹,People
